,Are you on the waiting list?,Program,"Programming and Analytical Experiences [R, data manipulation and modeling]",What code/text editor do you use most?,"Programming and Analytical Experiences [R, graphic basics (base, lattice, grid etc. )]","Programming and Analytical Experiences [R, advanced (multivariate data analysis, e.g. spatiotemporal data, visualization and modeling)]",Programming and Analytical Experiences [Reproducible documentation with R (e.g. R Markdown)],"Programming and Analytical Experiences [Matlab, data manipulation, analysis, visualization and modeling]",Programming and Analytical Experiences [Github],R, Excel, SQL, RStudio, ggplot2, Python, Stata, dropbox, google drive (formerly docs), regular expressions (grep), Github, shell (terminal / command line), LaTeX, Sweave/knitr, XML, Web: html css js,Excel, C/C++,Matlab, R, SPSS, lattice,RStudio,Github,SQL,shell (terminal / command line),Python
63,False,Data Science Certification,3,notepad++,2,1,1,1,1,False,True,True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False
64,False,IDSE (master),2,vi/vim,1,1,0,0,2,True,False,True,True,False,True,False,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
65,False,Statistics (master),1,vi/vim,0,0,0,0,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
66,False,IDSE (master),2,RStudio,1,1,0,1,1,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
67,False,IDSE (master),0,vi/vim,0,0,0,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
68,False,Data Science Certification,2,RStudio,1,1,2,0,1,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,False,Data Science Certification,0,python,0,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
70,False,Data Science Certification,0,vi/vim,0,0,0,0,2,False,True,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
71,False,IDSE (master),3,RStudio,3,2,3,2,2,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
72,False,Ph.D.,1,vi/vim,1,0,0,0,2,True,True,True,False,False,True,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
73,True,Other masters,3,RStudio,1,1,1,0,1,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
74,False,Applied Math,0,Sublime Text!,0,0,1,0,2,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
75,False,IDSE (master),1,RStudio,1,1,2,0,0,True,True,True,True,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,False,Data Science Certification,2,Sublime Text,0,1,0,1,1,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
77,False,IDSE (master),2,Sublime Text,0,1,2,0,2,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
78,False,IDSE (master),1,RStudio,1,1,0,1,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
79,True,Other masters,1,TextWrangler,1,1,1,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
80,True,Statistics (master),1,RStudio,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
